windcode:600066.SH high:19.620000 low:19.220000 close:19.590000 diff:-0.203876 dea:-0.060551 macd:-0.286651 K:30.210642 D:39.052409 J:12.527107 PB1:20.084831 PB2:20.157623 PB6:20.309588 
windcode:002089.SZ high:12.120000 low:11.750000 close:12.050000 diff:-0.957673 dea:-0.764824 macd:-0.385699 K:12.554908 D:19.263165 J:-0.861605 PB1:13.014260 PB2:13.362319 PB6:15.385781 
windcode:600480.SH high:21.860000 low:20.580000 close:20.840000 diff:1.850749 dea:1.802537 macd:0.096425 K:39.096068 D:45.808220 J:25.671765 PB1:21.338859 PB2:20.345448 PB6:17.091651 
windcode:600760.SH high:28.960000 low:27.770000 close:28.270000 diff:3.365251 dea:4.668674 macd:-2.606846 K:26.858121 D:36.145845 J:8.282673 PB1:31.031411 PB2:30.511685 PB6:21.357993 
windcode:600581.SH high:9.630000 low:9.020000 close:9.340000 diff:0.840478 dea:0.714974 macd:0.251008 K:50.359360 D:60.390567 J:30.296947 PB1:8.914313 PB2:8.590821 PB6:7.305135 
windcode:600847.SH high:15.560000 low:14.730000 close:14.760000 diff:-3.124478 dea:-2.670561 macd:-0.907834 K:7.369486 D:10.866047 J:0.376363 PB1:17.209575 PB2:18.603184 PB6:23.719230 
windcode:601218.SH high:4.510000 low:4.380000 close:4.380000 diff:-0.234182 dea:-0.122038 macd:-0.224288 K:10.514220 D:20.150261 J:-8.757860 PB1:4.860168 PB2:4.982847 PB6:5.361036 
windcode:300174.SZ high:31.770000 low:30.410000 close:30.630000 diff:-2.138998 dea:1.506664 macd:-7.291322 K:19.574954 D:26.998522 J:4.727818 PB1:47.758515 PB2:50.609731 PB6:44.795456 
windcode:603203.SH high:55.100000 low:50.550000 close:51.410000 diff:1.043600 dea:2.480872 macd:-2.874544 K:20.399351 D:27.441702 J:6.314648 PB1:54.736595 PB2:55.962289 PB6:nan 
windcode:002500.SZ high:9.300000 low:8.980000 close:9.030000 diff:-0.897887 dea:-0.765312 macd:-0.265150 K:8.803966 D:13.494589 J:-0.577278 PB1:10.055629 PB2:10.356863 PB6:12.207269 
windcode:002649.SZ high:35.880000 low:34.580000 close:34.740000 diff:-1.232469 dea:-0.749762 macd:-0.965414 K:18.139984 D:21.095253 J:12.229448 PB1:36.537201 PB2:37.259316 PB6:39.975529 
windcode:002697.SZ high:5.810000 low:5.680000 close:5.690000 diff:-0.332154 dea:-0.049355 macd:-0.565599 K:10.633701 D:10.877662 J:10.145779 PB1:6.407090 PB2:6.728386 PB6:6.748378 
windcode:600727.SH high:11.070000 low:10.750000 close:10.800000 diff:0.199241 dea:0.163316 macd:0.071849 K:70.869977 D:61.034199 J:90.541534 PB1:10.463776 PB2:10.396299 PB6:9.760675 
windcode:600819.SH high:6.740000 low:6.500000 close:6.510000 diff:-0.295961 dea:-0.017459 macd:-0.557005 K:13.780345 D:16.480476 J:8.380084 PB1:7.388072 PB2:7.606196 PB6:7.583481 
windcode:300422.SZ high:42.590000 low:40.750000 close:40.900000 diff:0.768568 dea:1.242607 macd:-0.948078 K:40.279535 D:41.615240 J:37.608124 PB1:42.058702 PB2:42.167920 PB6:39.428368 
windcode:600505.SH high:8.520000 low:8.300000 close:8.330000 diff:-0.379339 dea:-0.105346 macd:-0.547985 K:13.418857 D:23.051821 J:-5.847071 PB1:9.294541 PB2:9.546270 PB6:9.743816 
windcode:000046.SZ high:8.440000 low:8.210000 close:8.390000 diff:-0.344746 dea:-0.283263 macd:-0.122966 K:17.902209 D:22.335279 J:9.036068 PB1:8.801232 PB2:8.911917 PB6:9.730911 
windcode:000063.SZ high:19.350000 low:18.790000 close:19.000000 diff:0.788977 dea:0.545630 macd:0.486693 K:80.928172 D:77.580573 J:87.623372 PB1:17.702955 PB2:17.300993 PB6:16.205975 
windcode:603918.SH high:29.550000 low:28.780000 close:29.290000 diff:-0.650843 dea:-0.361141 macd:-0.579404 K:33.203726 D:28.836498 J:41.938184 PB1:29.336832 PB2:29.585947 PB6:nan 
windcode:600809.SH high:30.500000 low:29.220000 close:29.530000 diff:1.723863 dea:2.012291 macd:-0.576856 K:32.660767 D:44.410549 J:9.161204 PB1:30.167357 PB2:29.647171 PB6:24.906101 
windcode:300114.SZ high:20.980000 low:20.320000 close:20.380000 diff:-1.177966 dea:-0.857552 macd:-0.640829 K:10.502773 D:15.853842 J:-0.199363 PB1:21.896864 PB2:22.401549 PB6:24.489878 
windcode:000666.SZ high:21.390000 low:20.000000 close:20.370000 diff:-0.359186 dea:0.149328 macd:-1.017028 K:21.934902 D:20.642064 J:24.520580 PB1:21.391034 PB2:21.682828 PB6:21.221324 
windcode:002563.SZ high:8.740000 low:8.500000 close:8.650000 diff:-0.456744 dea:-0.375903 macd:-0.161682 K:20.950655 D:24.361270 J:14.129427 PB1:9.029303 PB2:9.199084 PB6:10.162437 
windcode:002591.SZ high:13.440000 low:12.980000 close:13.030000 diff:-0.630963 dea:-0.191112 macd:-0.879702 K:11.603661 D:14.912117 J:4.986747 PB1:14.177536 PB2:14.614611 PB6:14.763890 
windcode:000875.SZ high:5.590000 low:5.320000 close:5.370000 diff:-0.270113 dea:-0.196487 macd:-0.147251 K:29.386722 D:23.011078 J:42.138010 PB1:5.509420 PB2:5.658756 PB6:6.316934 
windcode:300055.SZ high:18.500000 low:17.540000 close:17.650000 diff:0.176878 dea:0.026178 macd:0.301401 K:49.458044 D:55.541108 J:37.291916 PB1:17.651206 PB2:17.393789 PB6:17.783559 
windcode:300406.SZ high:17.150000 low:16.840000 close:17.130000 diff:-1.273893 dea:-1.116067 macd:-0.315652 K:22.273200 D:20.695192 J:25.429217 PB1:17.761075 PB2:18.325134 PB6:20.335907 
windcode:600081.SH high:13.040000 low:12.400000 close:12.550000 diff:-0.672040 dea:-0.403239 macd:-0.537602 K:8.858805 D:14.715706 J:-2.854997 PB1:13.816204 PB2:14.166161 PB6:15.401037 
windcode:002782.SZ high:20.040000 low:18.880000 close:18.900000 diff:-2.205808 dea:-1.739541 macd:-0.932535 K:22.215536 D:17.068431 J:32.509745 PB1:20.389691 PB2:21.460458 PB6:nan 
windcode:000796.SZ high:13.160000 low:12.890000 close:12.900000 diff:-0.948894 dea:-0.825839 macd:-0.246110 K:10.586697 D:19.918047 J:-8.076005 PB1:13.959474 PB2:14.263578 PB6:16.405625 
windcode:600069.SH high:9.020000 low:8.770000 close:8.780000 diff:-0.118012 dea:0.289527 macd:-0.815079 K:24.628131 D:25.570108 J:22.744176 PB1:9.439420 PB2:9.923057 PB6:8.467266 
windcode:600707.SH high:7.920000 low:7.610000 close:7.660000 diff:-0.560370 dea:-0.561656 macd:0.002573 K:37.300984 D:27.269568 J:57.363817 PB1:7.728657 PB2:7.921423 PB6:9.519057 
windcode:603703.SH high:18.620000 low:17.030000 close:17.380000 diff:-3.702435 dea:-2.059353 macd:-3.286163 K:3.987340 D:6.382265 J:-0.802512 PB1:22.015701 PB2:24.532765 PB6:nan 
windcode:002054.SZ high:15.160000 low:14.580000 close:14.740000 diff:0.859804 dea:0.496929 macd:0.725749 K:83.705176 D:82.292225 J:86.531079 PB1:13.550087 PB2:13.045724 PB6:11.871386 
windcode:000822.SZ high:7.380000 low:7.110000 close:7.160000 diff:0.195735 dea:0.238303 macd:-0.085136 K:55.233578 D:50.428673 J:64.843387 PB1:7.134872 PB2:7.099628 PB6:6.477123 
windcode:000533.SZ high:10.260000 low:9.900000 close:10.250000 diff:-0.059704 dea:0.048320 macd:-0.216047 K:24.238754 D:32.413189 J:7.889883 PB1:10.551845 PB2:10.670295 PB6:10.316690 
windcode:002097.SZ high:8.510000 low:8.230000 close:8.270000 diff:-0.163505 dea:-0.107172 macd:-0.112666 K:24.069971 D:32.963290 J:6.283334 PB1:8.662607 PB2:8.722191 PB6:9.072782 
windcode:000548.SZ high:7.640000 low:7.360000 close:7.390000 diff:-0.193343 dea:0.076430 macd:-0.539546 K:13.119174 D:19.958808 J:-0.560093 PB1:8.334818 PB2:8.463638 PB6:8.567499 
windcode:300347.SZ high:25.860000 low:24.800000 close:24.960000 diff:-0.730896 dea:-0.850618 macd:0.239445 K:38.839265 D:41.998952 J:32.519892 PB1:25.485316 PB2:25.597890 PB6:28.122740 
windcode:601100.SH high:15.590000 low:15.150000 close:15.160000 diff:0.129931 dea:0.321425 macd:-0.382989 K:42.682015 D:42.051611 J:43.942822 PB1:15.465221 PB2:15.531192 PB6:14.803253 
windcode:000401.SZ high:18.070000 low:17.210000 close:17.340000 diff:1.880378 dea:1.821527 macd:0.117702 K:39.187222 D:50.156619 J:17.248429 PB1:18.217458 PB2:17.149095 PB6:13.824439 
windcode:601566.SH high:18.300000 low:17.700000 close:17.830000 diff:0.301090 dea:0.198808 macd:0.204563 K:75.999444 D:71.920710 J:84.156913 PB1:17.405936 PB2:17.289348 PB6:16.759222 
windcode:300244.SZ high:31.300000 low:28.810000 close:28.840000 diff:-0.788665 dea:-0.685642 macd:-0.206045 K:41.392531 D:41.057417 J:42.062760 PB1:29.666329 PB2:30.048917 PB6:32.057069 
windcode:300321.SZ high:24.940000 low:23.600000 close:23.740000 diff:-2.983427 dea:-2.110819 macd:-1.745217 K:9.910746 D:14.784728 J:0.162783 PB1:26.820740 PB2:28.447963 PB6:32.735677 
windcode:000703.SZ high:14.160000 low:13.270000 close:13.670000 diff:-0.059913 dea:0.175688 macd:-0.471200 K:43.480639 D:30.997930 J:68.446057 PB1:13.504724 PB2:13.705568 PB6:12.731314 
windcode:002160.SZ high:7.120000 low:6.800000 close:6.910000 diff:-0.589962 dea:-0.370751 macd:-0.438422 K:10.537393 D:14.995660 J:1.620857 PB1:7.766853 PB2:8.070721 PB6:9.068084 
windcode:000831.SZ high:11.840000 low:11.350000 close:11.430000 diff:-0.243197 dea:-0.097565 macd:-0.291265 K:17.790804 D:28.156794 J:-2.941177 PB1:12.111095 PB2:12.260257 PB6:13.207684 
windcode:601318.SH high:43.020000 low:41.030000 close:42.840000 diff:1.468210 dea:0.895571 macd:1.145278 K:85.424695 D:75.170446 J:105.933192 PB1:38.950318 PB2:38.205625 PB6:35.460709 
windcode:000761.SZ high:4.990000 low:4.840000 close:4.860000 diff:-0.223160 dea:-0.118972 macd:-0.208375 K:13.703248 D:16.921552 J:7.266642 PB1:5.263459 PB2:5.360221 PB6:5.668196 
windcode:002226.SZ high:7.250000 low:7.060000 close:7.130000 diff:-0.446853 dea:-0.218981 macd:-0.455744 K:15.497033 D:20.773124 J:4.944851 PB1:7.820002 PB2:8.092976 PB6:8.588952 
windcode:002573.SZ high:20.220000 low:19.160000 close:19.230000 diff:0.535762 dea:0.706148 macd:-0.340771 K:27.274642 D:42.753434 J:-3.682941 PB1:20.696802 PB2:20.386803 PB6:19.426267 
windcode:600262.SH high:25.500000 low:24.500000 close:24.580000 diff:-1.353019 dea:0.200013 macd:-3.106066 K:13.358882 D:25.031269 J:-9.985893 PB1:29.378334 PB2:30.580637 PB6:31.050425 
windcode:002396.SZ high:17.590000 low:17.000000 close:17.360000 diff:-0.397591 dea:-0.147000 macd:-0.501183 K:22.334801 D:26.110530 J:14.783344 PB1:18.302601 PB2:18.585473 PB6:19.569438 
windcode:603883.SH high:43.900000 low:43.200000 close:43.320000 diff:-1.232893 dea:-1.298633 macd:0.131480 K:36.776802 D:33.134933 J:44.060541 PB1:43.493705 PB2:43.916513 PB6:nan 
windcode:002750.SZ high:12.870000 low:12.500000 close:12.500000 diff:-0.842201 dea:-0.569811 macd:-0.544780 K:11.524557 D:17.435459 J:-0.297247 PB1:13.759442 PB2:14.181236 PB6:15.549560 
windcode:002180.SZ high:25.860000 low:24.880000 close:25.040000 diff:-0.946715 dea:-0.715118 macd:-0.463195 K:41.575652 D:41.207166 J:42.312624 PB1:26.270097 PB2:26.737272 PB6:27.591449 
windcode:600091.SH high:7.250000 low:6.960000 close:7.020000 diff:-0.973048 dea:-0.809995 macd:-0.326106 K:15.928925 D:15.361813 J:17.063149 PB1:7.631712 PB2:8.190713 PB6:9.679277 
windcode:000633.SZ high:9.870000 low:9.050000 close:9.090000 diff:-0.537670 dea:-0.328962 macd:-0.417415 K:23.084947 D:25.275962 J:18.702918 PB1:10.070979 PB2:10.409585 PB6:10.858793 
windcode:600018.SH high:6.130000 low:5.980000 close:6.120000 diff:0.192780 dea:0.177432 macd:0.030697 K:61.938485 D:59.531110 J:66.753235 PB1:5.993142 PB2:5.878502 PB6:5.652506 
windcode:002325.SZ high:6.530000 low:6.430000 close:6.450000 diff:-0.553084 dea:-0.532743 macd:-0.040681 K:17.972331 D:18.463701 J:16.989592 PB1:6.749243 PB2:6.914115 PB6:8.519154 
windcode:600343.SH high:17.310000 low:17.000000 close:17.010000 diff:-1.562573 dea:-1.017478 macd:-1.090190 K:9.261267 D:13.451467 J:0.880868 PB1:19.132766 PB2:19.848295 PB6:22.327004 
windcode:002674.SZ high:13.400000 low:12.800000 close:12.870000 diff:-1.020980 dea:-0.608545 macd:-0.824870 K:9.283445 D:16.322133 J:-4.793930 PB1:14.592413 PB2:15.120233 PB6:16.282013 
windcode:600156.SH high:7.550000 low:6.920000 close:7.050000 diff:-0.912708 dea:-0.528664 macd:-0.768089 K:8.037731 D:12.632475 J:-1.151756 PB1:8.463110 PB2:9.034271 PB6:10.129654 
windcode:300167.SZ high:12.530000 low:11.750000 close:12.330000 diff:-0.640306 dea:-0.402762 macd:-0.475089 K:34.124556 D:41.570203 J:19.233260 PB1:13.138726 PB2:13.469316 PB6:14.968231 
windcode:002359.SZ high:36.500000 low:35.690000 close:36.270000 diff:2.648413 dea:2.260613 macd:0.775599 K:61.202676 D:70.510700 J:42.586627 PB1:35.106552 PB2:33.991922 PB6:29.110815 
windcode:300534.SZ high:24.370000 low:21.720000 close:21.950000 diff:-3.238103 dea:2.979686 macd:-12.435577 K:17.601580 D:31.538954 J:-10.273170 PB1:49.862242 PB2:54.775414 PB6:nan 
windcode:002481.SZ high:6.850000 low:6.710000 close:6.720000 diff:-0.414673 dea:-0.193719 macd:-0.441908 K:15.374186 D:15.582525 J:14.957506 PB1:7.357259 PB2:7.665414 PB6:8.263855 
windcode:300289.SZ high:15.880000 low:14.880000 close:15.380000 diff:0.446458 dea:-0.007196 macd:0.907308 K:84.408653 D:78.996437 J:95.233086 PB1:13.676010 PB2:13.299287 PB6:13.600962 
windcode:300349.SZ high:31.110000 low:29.300000 close:30.020000 diff:-0.802487 dea:-0.525725 macd:-0.553524 K:28.651294 D:32.101744 J:21.750396 PB1:30.742962 PB2:31.079119 PB6:32.741193 
windcode:000869.SZ high:33.000000 low:32.330000 close:32.510000 diff:-1.126709 dea:-0.716238 macd:-0.820942 K:17.608257 D:24.624518 J:3.575735 PB1:34.318916 PB2:34.846013 PB6:36.849841 
windcode:000851.SZ high:9.550000 low:9.130000 close:9.190000 diff:-0.806451 dea:-0.523513 macd:-0.565876 K:10.631442 D:18.776021 J:-5.657718 PB1:10.500971 PB2:10.885486 PB6:12.565360 
windcode:000026.SZ high:12.610000 low:12.260000 close:12.610000 diff:-0.202271 dea:0.109960 macd:-0.624461 K:18.501224 D:28.260155 J:-1.016639 PB1:13.476139 PB2:13.678083 PB6:13.362888 
windcode:300064.SZ high:9.810000 low:9.560000 close:9.580000 diff:-0.337955 dea:-0.297764 macd:-0.080382 K:39.033211 D:36.595215 J:43.909202 PB1:9.774682 PB2:9.955421 PB6:10.779995 
